MAC;IP;Download (MB)
10:7c:61:06:b1:fc;192.168.69.5;227796.9280614853
74:97:79:eb:6b:bf;192.168.69.253;4020.4628582000732
10:62:e5:09:df:e3;192.168.69.3;2130.3123922348022
2c:cf:67:c4:32:dc;192.168.69.6;1123.3075580596924
74:2b:62:7b:33:cd;192.168.69.213;994.1249113082886
e4:2a:ac:d1:0b:66;192.168.69.20;683.7113523483276
50:98:39:5b:7e:00;192.168.69.12;516.4818439483643
08:00:27:b6:5c:c2;192.168.69.5;28.51710796356201
08:00:27:b6:5c:c2;192.168.69.208;0.8052797317504883
d8:bb:c1:5c:8d:30;192.168.69.207;0.0257110595703125
66:cf:65:08:25:e6;192.168.69.213;0.01929187774658203
74:5d:22:94:8c:a6;192.168.69.208;0.018720626831054688
d4:81:d7:81:f0:a1;192.168.69.214;0.010672569274902344
74:5d:22:94:8c:a6;192.168.69.215;0.004191398620605469
66:cf:65:08:25:e6;192.168.69.209;0.0032863616943359375
74:2b:62:7b:33:cd;192.168.69.207;0.001567840576171875
