MAC;IP;Upload (MB)
10:7c:61:06:b1:fc;192.168.69.5;35896.85168552399
74:2b:62:7b:33:cd;192.168.69.213;993.8844833374023
74:97:79:eb:6b:bf;192.168.69.253;132.05038452148438
10:62:e5:09:df:e3;192.168.69.3;95.97573757171631
e4:2a:ac:d1:0b:66;192.168.69.20;38.67519187927246
00:e0:4c:be:02:be;192.168.69.254;32.364654541015625
2c:cf:67:c4:32:dc;192.168.69.6;10.612218856811523
50:98:39:5b:7e:00;192.168.69.12;3.317363739013672
74:5d:22:94:8c:a6;192.168.69.208;3.292757987976074
d8:bb:c1:5c:8d:30;192.168.69.207;1.9478769302368164
08:00:27:b6:5c:c2;192.168.69.5;1.2950658798217773
66:cf:65:08:25:e6;192.168.69.213;0.6672496795654297
74:5d:22:94:8c:a6;192.168.69.215;0.40346622467041016
66:cf:65:08:25:e6;192.168.69.209;0.3229389190673828
d4:81:d7:81:f0:a1;192.168.69.214;0.2682771682739258
08:00:27:b6:5c:c2;192.168.69.208;0.08197212219238281
d4:e9:8a:7b:5c:91;192.168.69.209;0.01596546173095703
