IP;MAC;Celkem (MB)
192.168.69.5;10:7c:61:06:b1:fc;263693.76580810547
192.168.69.253;74:97:79:eb:6b:bf;4152.513242721558
192.168.69.3;10:62:e5:09:df:e3;2226.2881298065186
192.168.69.213;74:2b:62:7b:33:cd;1988.009394645691
192.168.69.6;2c:cf:67:c4:32:dc;1133.919776916504
192.168.69.20;e4:2a:ac:d1:0b:66;722.3865442276001
192.168.69.12;50:98:39:5b:7e:00;519.7992076873779
192.168.69.254;00:e0:4c:be:02:be;32.364654541015625
192.168.69.5;08:00:27:b6:5c:c2;29.81217384338379
192.168.69.208;74:5d:22:94:8c:a6;3.311478614807129
192.168.69.207;d8:bb:c1:5c:8d:30;1.973587989807129
192.168.69.208;08:00:27:b6:5c:c2;0.8872518539428711
192.168.69.213;66:cf:65:08:25:e6;0.6865415573120117
192.168.69.215;74:5d:22:94:8c:a6;0.4076576232910156
192.168.69.209;66:cf:65:08:25:e6;0.32622528076171875
192.168.69.214;d4:81:d7:81:f0:a1;0.2789497375488281
192.168.69.209;d4:e9:8a:7b:5c:91;0.01596546173095703
192.168.69.207;74:2b:62:7b:33:cd;0.001567840576171875
