Čas;Režim;Původce;Zakázaná doména;Počet pokusů
2026-04-01 13:06:04;home;192.168.69.213 (FUJITSU LIMITED - 74:2b:62:7b:33:cd);betano.cz;1
2026-04-01 13:05:04;home;192.168.69.213 (FUJITSU LIMITED - 74:2b:62:7b:33:cd);betano.cz;1
2026-04-01 13:04:04;home;192.168.69.213 (FUJITSU LIMITED - 74:2b:62:7b:33:cd);gmlinteractive.com;1
2026-04-01 13:04:04;home;192.168.69.213 (FUJITSU LIMITED - 74:2b:62:7b:33:cd);betano.cz;3
2026-04-01 13:03:04;home;192.168.69.213 (FUJITSU LIMITED - 74:2b:62:7b:33:cd);gmlinteractive.com;8
2026-04-01 13:03:04;home;192.168.69.213 (FUJITSU LIMITED - 74:2b:62:7b:33:cd);betano.cz;15
2026-04-18 22:40:19;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-18 01:51:42;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-16 16:03:01;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-14 00:17:32;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;3
2026-04-14 00:07:32;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-12 23:36:40;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-12 21:41:48;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-12 20:53:39;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-12 17:59:15;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;9
2026-04-12 17:30:43;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;5
2026-04-12 16:25:34;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;3
2026-04-12 15:41:33;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;8
2026-04-12 15:01:31;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;8
2026-04-12 14:53:31;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;3
2026-04-12 14:49:31;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;5
2026-04-12 14:38:31;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-12 00:34:02;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;11
2026-04-11 23:54:00;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-11 20:11:53;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;8
2026-04-11 19:25:51;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-11 18:00:48;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-11 17:46:48;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-11 17:43:47;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;3
2026-04-11 16:07:44;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;3
2026-04-08 16:47:30;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;3
2026-04-06 17:07:35;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-06 15:42:32;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-05 21:16:57;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-05 19:39:53;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;3
2026-04-05 19:33:53;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;3
2026-04-05 18:55:51;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;3
2026-04-05 17:32:47;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;1
2026-04-05 17:31:47;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-05 17:05:46;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-05 16:29:44;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;3
2026-04-01 18:36:06;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-01 12:56:03;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);betano.cz;1
2026-04-01 12:55:03;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);betano.cz;2
2026-04-01 12:55:03;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);gmlinteractive.com;1
2026-04-01 12:54:03;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);kaizengaming.com;3
2026-04-01 12:54:03;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);gmlinteractive.com;2
2026-04-01 12:54:03;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);betano.com;4
2026-04-01 12:54:03;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);betano.cz;14
2026-04-01 11:48:28;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-01 11:48:24;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);im.cz;6
2026-04-01 10:58:26;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);betano.cz;1
2026-04-01 10:58:22;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);betano.cz;1
2026-04-01 10:58:22;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);gmlinteractive.com;1
2026-04-01 10:57:26;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);betano.cz;3
