Čas;Režim;Původce;Cílová IP;Port;Cílová doména;Upload (MB);Download (MB)
2026-04-07 15:50:50;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/443;Zadna;0.14;225.85
2026-04-07 15:33:50;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;UDP/443;Zadna;1.04;199.57
2026-04-07 12:43:44;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/443;Zadna;2.07;142.78
2026-04-07 12:39:43;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/443;Zadna;0.68;100.59
2026-04-07 12:31:43;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/443;Zadna;0.57;202.12
2026-04-03 14:51:25;home;192.168.69.3 (NAS - 10:62:e5:09:df:e3);104.16.100.215;TCP/443;production.cloudflare.docker.com;5.63;768.64
2026-04-19 15:38:00;home;192.168.69.3 (NAS - 10:62:e5:09:df:e3);104.16.101.215;TCP/443;production.cloudflare.docker.com;0.33;607.76
2026-04-19 15:37:00;home;192.168.69.3 (NAS - 10:62:e5:09:df:e3);104.16.97.215;TCP/443;production.cloudflare.docker.com;12.95;717.69
2026-04-02 23:59:01;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);109.164.112.248;UDP/4500;Zadna;18.72;285.48
2026-04-05 18:52:51;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);109.61.90.248;TCP/443;prima-vod-prep-sec.ssl.cdn.cra.cz;0.14;122.22
2026-04-06 00:48:06;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);13.227.192.36;TCP/80;download.epicgames.com;1.18;2580.89
2026-04-06 00:46:06;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);13.227.192.36;TCP/80;download.epicgames.com;0.74;944.58
2026-04-06 00:45:06;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);13.227.192.36;TCP/80;download.epicgames.com;1.64;2536.51
2026-04-06 13:46:28;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);13.227.192.39;TCP/443;updates.optionsplus.logitechg.com;0.36;202.5
2026-04-05 15:00:16;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);13.227.192.39;TCP/443;updates.optionsplus.logitechg.com;0.2;202.71
2026-04-19 15:13:59;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);13.227.192.71;TCP/443;updates.optionsplus.logitechg.com;0.55;368.82
2026-04-04 13:32:03;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);13.227.192.71;TCP/443;updates.optionsplus.logitechg.com;0.23;203.45
2026-04-17 01:17:22;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);142.251.141.170;TCP/443;content-autofill.googleapis.com;462.91;3.37
2026-04-17 01:10:22;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);142.251.141.170;TCP/443;signaler-pa.clients6.google.com;79.64;0.8
2026-04-15 14:44:06;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);142.251.141.170;TCP/443;remotedesktop-pa.googleapis.com;258.56;2.27
2026-04-15 13:47:04;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);142.251.141.170;TCP/443;waa-pa.clients6.google.com;0.11;3434.6
2026-04-15 13:39:04;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);142.251.141.170;TCP/443;signaler-pa.googleapis.com;356.61;3.93
2026-03-30 20:31:42;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);142.251.141.170;TCP/443;signaler-pa.clients6.google.com;5.45;150.14
2026-04-10 22:01:32;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);142.251.209.10;TCP/443;addons-pa.clients6.google.com;109.31;0.75
2026-03-30 20:19:41;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);142.251.209.14;UDP/443;play.google.com;412.26;65.22
2026-04-19 02:36:30;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);142.251.38.138;TCP/443;waa-pa.clients6.google.com;72.27;0.71
2026-04-15 13:59:04;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);142.251.38.142;UDP/443;play.google.com;3528.51;11.28
2026-04-08 20:29:39;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);142.251.38.142;UDP/443;docs.google.com;62.23;0.52
2026-04-10 21:13:30;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);146.66.155.22;TCP/443;cache5-vie1.steamcontent.com;0.26;679.67
2026-04-14 18:15:21;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);146.66.155.5;TCP/443;cache9-vie1.steamcontent.com;0.18;316.25
2026-04-14 18:10:20;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);146.66.155.5;TCP/443;cache9-vie1.steamcontent.com;0.08;385.98
2026-04-14 18:06:20;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);146.66.155.5;TCP/443;cache9-vie1.steamcontent.com;4.04;968.85
2026-04-01 18:11:05;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);146.66.155.5;TCP/443;cache9-vie1.steamcontent.com;0.27;323.61
2026-04-16 19:40:09;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);146.66.155.6;TCP/443;cache10-vie1.steamcontent.com;0.37;505.09
2026-04-14 18:29:21;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);146.66.155.6;TCP/443;cache10-vie1.steamcontent.com;4.35;59460.4
2026-04-14 18:27:21;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);146.66.155.6;TCP/443;cache10-vie1.steamcontent.com;0.12;1283.74
2026-04-14 18:21:21;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);146.66.155.6;TCP/443;cache10-vie1.steamcontent.com;0.08;562.59
2026-04-14 18:11:20;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);146.66.155.6;TCP/443;cache10-vie1.steamcontent.com;0.08;539.07
2026-04-14 18:04:20;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);146.66.155.6;TCP/443;cache10-vie1.steamcontent.com;9.76;421.64
2026-04-05 19:27:52;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);146.66.155.6;TCP/443;cache10-vie1.steamcontent.com;0.18;358.8
2026-04-04 15:23:07;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);146.66.155.7;TCP/443;cache11-vie1.steamcontent.com;0.64;218.43
2026-04-15 23:33:11;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);172.217.19.10;TCP/443;remotedesktop-pa.googleapis.com;680.25;39.26
2026-04-15 23:29:11;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);172.217.19.10;TCP/443;drivefrontend-pa.googleapis.com;93.97;14.81
2026-04-15 23:26:10;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);172.217.19.10;TCP/443;www.googleapis.com;117.87;18.87
2026-04-15 13:32:03;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);172.217.19.10;TCP/443;remotedesktop-pa.googleapis.com;100.05;7.23
2026-04-15 01:32:07;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);172.217.19.14;UDP/443;clients4.google.com;77.11;6.73
2026-03-30 20:23:41;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);172.217.19.14;UDP/443;clients6.google.com;51.27;42.67
2026-04-06 18:53:39;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);172.66.1.120;TCP/443;audio-cf.spotifycdn.com;0.07;143.98
2026-03-30 17:47:35;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);178.17.0.23;TCP/8080;ookla2.infra.uvtnet.cz.prod.hosts.ooklaserver.net;266.04;862.95
2026-03-30 17:19:33;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);178.17.0.23;TCP/8080;ookla2.infra.uvtnet.cz.prod.hosts.ooklaserver.net;0.58;988.44
2026-03-30 17:14:33;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);178.17.0.23;TCP/8080;ookla2.infra.uvtnet.cz.prod.hosts.ooklaserver.net;0.48;847.27
2026-03-30 15:41:29;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);178.17.0.23;TCP/8080;ookla2.infra.uvtnet.cz.prod.hosts.ooklaserver.net;0.76;605.77
2026-03-30 15:37:29;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);178.17.0.23;TCP/8080;ookla2.infra.uvtnet.cz.prod.hosts.ooklaserver.net;0.21;944.89
2026-03-30 15:13:28;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);178.17.0.23;TCP/8080;ookla2.infra.uvtnet.cz.prod.hosts.ooklaserver.net;0.23;798.58
2026-04-02 15:35:45;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);18.66.112.10;TCP/443;updates.optionsplus.logitechg.com;0.17;201.86
2026-04-12 16:23:34;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);185.112.165.136;TCP/8080;speedtest.cznet.cz.prod.hosts.ooklaserver.net;994.57;961.49
2026-04-10 22:04:32;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);185.115.1.28;TCP/443;www202.uschovna.cz;109.34;1.68
2026-03-30 17:48:35;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);185.91.168.50;TCP/8080;speed-jesenice.jmnet.cz.prod.hosts.ooklaserver.net;104.29;3.82
2026-03-30 17:20:33;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);185.91.168.50;TCP/8080;speed-jesenice.jmnet.cz.prod.hosts.ooklaserver.net;1000.1;25.3
2026-04-13 16:43:14;home;192.168.69.253 (LNV14 - 74:97:79:eb:6b:bf);192.168.69.3;UDP/35243;Zadna;127.86;3955.41
2026-04-16 00:12:13;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/445;Zadna;1560.29;96.03
2026-04-11 20:55:54;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/445;192.168.69.3;10.2;1099.6
2026-04-10 00:38:03;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/445;_device-info._tcp.local;1374.13;0.8
2026-04-06 03:17:13;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/445;192.168.69.3;4175.36;127.4
2026-04-05 15:41:19;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/445;Zadna;342.37;28.39
2026-04-04 18:47:16;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/8096;192.168.69.3:8096;0.67;444.07
2026-04-04 18:36:15;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/8096;192.168.69.3:8096;0.19;208.29
2026-04-04 18:17:15;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/8096;192.168.69.3:8096;1.04;1132.92
2026-04-04 17:47:13;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/8096;192.168.69.3:8096;2.17;1118.97
2026-04-04 17:17:12;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/8096;192.168.69.3:8096;0.59;379.0
2026-04-04 16:47:10;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/8096;192.168.69.3:8096;0.32;305.05
2026-04-04 16:39:10;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/8096;192.168.69.3:8096;0.21;179.39
2026-04-04 16:34:10;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/8096;192.168.69.3:8096;0.31;195.47
2026-04-04 16:27:10;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/8096;192.168.69.3:8096;0.25;138.25
2026-04-04 16:17:09;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/8096;192.168.69.3:8096;0.94;912.7
2026-04-04 16:07:09;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.3;TCP/8096;192.168.69.3:8096;0.35;430.35
2026-04-13 01:45:53;home;192.168.69.12 (Xiaomi_12X - 50:98:39:5b:7e:00);192.168.69.3;TCP/8096;Zadna;0.27;291.4
2026-04-15 23:23:10;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);192.168.69.6;TCP/22;192.168.69.6:3000;10.53;873.48
2026-03-31 08:31:02;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);199.232.214.172;TCP/443;sb.teams.static.microsoft;0.11;223.05
2026-04-06 00:53:06;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);2.16.168.197;TCP/443;media-rockstargames-com.akamaized.net;0.37;155.34
2026-04-04 19:37:18;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);2.18.69.142;TCP/443;ubiservices.cdn.ubi.com;0.55;146.67
2026-04-04 15:20:07;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);2.19.197.9;TCP/443;gamedownloads-rockstargames-com.akamaized.net;0.34;182.08
2026-03-30 21:46:45;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);2.22.89.25;TCP/443;oneclient.sfx.ms;0.33;106.47
2026-04-05 15:38:19;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);2.22.89.6;TCP/443;ardownload3.adobe.com;0.16;561.87
2026-04-15 16:20:09;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);23.209.209.106;TCP/443;static3.cdn.ubi.com;0.05;188.79
2026-04-01 16:20:02;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);23.52.181.19;TCP/443;static3.cdn.ubi.com;0.05;188.37
2026-04-06 19:31:41;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.13;UDP/443;rr2---sn-8vq54voxj1-2gbl.googlevideo.com;0.74;128.69
2026-03-31 18:32:41;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.13;UDP/443;Zadna;0.77;167.18
2026-03-31 18:11:40;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.13;UDP/443;Zadna;1.04;117.45
2026-04-08 18:36:35;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.14;UDP/443;rr3---sn-8vq54voxj1-2gbl.googlevideo.com;1.33;108.53
2026-04-02 21:12:56;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.14;UDP/443;rr3---sn-8vq54voxj1-2gbl.googlevideo.com;3.81;866.95
2026-04-02 20:48:56;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.14;UDP/443;rr3---sn-8vq54voxj1-2gbl.googlevideo.com;0.89;163.01
2026-04-02 20:42:55;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.14;UDP/443;rr3---sn-8vq54voxj1-2gbl.googlevideo.com;2.62;414.1
2026-04-09 16:59:43;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.15;UDP/443;rr4---sn-8vq54voxj1-2gbl.googlevideo.com;0.86;166.52
2026-04-06 20:03:42;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.76;UDP/443;rr1---sn-8vq54voxj1-2gbs.googlevideo.com;1.72;394.87
2026-04-06 19:09:40;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.76;UDP/443;rr1---sn-8vq54voxj1-2gbs.googlevideo.com;0.89;188.62
2026-04-01 18:31:06;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.76;UDP/443;rr1---sn-8vq54voxj1-2gbs.googlevideo.com;1.17;296.65
2026-04-01 18:17:06;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.76;UDP/443;rr1---sn-8vq54voxj1-2gbs.googlevideo.com;0.88;168.96
2026-03-30 19:46:39;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.76;UDP/443;Zadna;2.19;646.26
2026-04-19 15:32:00;home;192.168.69.5 (PCS Computer Systems GmbH - 08:00:27:b6:5c:c2);31.30.189.77;UDP/443;rr2---sn-8vq54voxj1-2gbs.googlevideo.com;1.06;275.78
2026-04-19 14:16:57;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.77;UDP/443;rr2---sn-8vq54voxj1-2gbs.googlevideo.com;0.56;131.41
2026-04-19 14:07:56;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.77;UDP/443;rr2---sn-8vq54voxj1-2gbs.googlevideo.com;1.87;347.03
2026-04-16 22:39:16;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.77;UDP/443;rr2---sn-8vq54voxj1-2gbs.googlevideo.com;1.39;166.49
2026-04-16 22:05:15;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.77;UDP/443;rr2---sn-8vq54voxj1-2gbs.googlevideo.com;0.65;136.07
2026-04-16 21:05:12;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.77;UDP/443;rr2---sn-8vq54voxj1-2gbs.googlevideo.com;1.47;184.75
2026-04-16 20:50:12;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.77;UDP/443;rr2---sn-8vq54voxj1-2gbs.googlevideo.com;1.93;199.73
2026-04-15 18:32:57;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.77;UDP/443;rr2---sn-8vq54voxj1-2gbs.googlevideo.com;1.39;257.93
2026-04-15 18:27:57;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.77;UDP/443;rr2---sn-8vq54voxj1-2gbs.googlevideo.com;2.55;420.58
2026-04-15 18:10:56;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.77;UDP/443;rr2---sn-8vq54voxj1-2gbs.googlevideo.com;0.82;149.06
2026-03-29 22:22:46;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.77;UDP/443;rr2---sn-8vq54voxj1-2gbs.googlevideo.com;1.25;336.16
2026-03-29 21:00:43;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.77;UDP/443;rr2---sn-8vq54voxj1-2gbs.googlevideo.com;0.55;173.13
2026-03-29 20:48:43;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.77;UDP/443;rr2---sn-8vq54voxj1-2gbs.googlevideo.com;0.47;106.49
2026-04-07 20:01:35;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.78;UDP/443;rr3---sn-8vq54voxj1-2gbs.googlevideo.com;0.54;110.6
2026-04-05 19:50:53;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.78;UDP/443;rr3---sn-8vq54voxj1-2gbs.googlevideo.com;2.36;110.03
2026-04-01 18:57:07;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.78;UDP/443;rr3---sn-8vq54voxj1-2gbs.googlevideo.com;1.49;382.2
2026-04-01 18:48:07;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.78;UDP/443;rr3---sn-8vq54voxj1-2gbs.googlevideo.com;1.34;235.44
2026-04-01 18:36:06;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.78;UDP/443;rr3---sn-8vq54voxj1-2gbs.googlevideo.com;1.16;213.16
2026-03-29 18:42:05;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.78;UDP/443;rr3---sn-8vq54voxj1-2gbs.googlevideo.com;0.87;217.16
2026-04-16 20:15:10;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.79;UDP/443;rr4---sn-8vq54voxj1-2gbs.googlevideo.com;0.88;215.1
2026-04-07 20:02:35;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);31.30.189.79;UDP/443;rr4---sn-8vq54voxj1-2gbs.googlevideo.com;0.63;131.01
2026-04-15 15:28:07;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);34.104.35.123;TCP/80;edgedl.me.gvt1.com;0.78;229.08
2026-04-12 23:30:40;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);34.104.35.123;TCP/80;edgedl.me.gvt1.com;2.36;108.78
2026-04-14 00:32:33;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);77.75.76.182;TCP/443;api.mapy.com;2.67;425.25
