Čas;Režim;Cílová IP;Nová MAC (Podezřelá);Původní MAC
2026-04-19 15:44:02;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-19 15:42:17;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-19 15:41:16;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-19 15:39:01;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-19 15:33:36;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-19 15:32:35;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-19 15:31:16;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-18 18:13:01;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-18 18:04:04;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-18 18:00:14;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-18 17:39:54;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-18 17:35:38;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-18 17:32:55;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-18 17:29:15;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-18 16:40:57;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:46:40;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:46:40;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:46:26;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:46:26;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:45:03;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:45:03;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:44:59;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:44:59;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:44:45;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:44:45;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:44:40;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:44:40;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:44:35;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:44:35;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:44:25;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:44:25;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:43:48;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:43:48;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:43:45;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:43:45;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:43:40;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:43:40;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:43:35;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:43:35;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:43:13;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:43:13;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:43:02;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:43:02;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:42:54;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-01 10:42:54;home;192.168.69.5;08:00:27:b6:5c:c2;10:7c:61:06:b1:fc
2026-04-19 15:40:02;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-18 18:01:16;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-18 17:31:48;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-18 17:30:18;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-18 16:42:08;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:46:40;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:46:40;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:46:26;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:46:26;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:45:18;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:45:18;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:45:02;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:45:02;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:44:50;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:44:50;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:44:45;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:44:45;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:44:37;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:44:37;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:44:29;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:44:29;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:44:21;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:44:21;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:43:45;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:43:45;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:43:40;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:43:40;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:43:38;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:43:38;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:43:17;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:43:17;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:43:06;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:43:06;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:42:54;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
2026-04-01 10:42:54;home;192.168.69.5;10:7c:61:06:b1:fc;08:00:27:b6:5c:c2
