Čas;Režim;Původce;Cílová IP;Port;Cílová doména;Spojení;Unikátní IP;Unikátní porty;Chybovost spojení;Upload (MB);Download (MB)
2026-04-07 16:50:40;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);;;;60;;;6 %;;
2026-04-14 22:50:32;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.0.0.1;TCP/53;Zadna;78;29;15;28 %;0.65;6.31
2026-04-14 22:01:30;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.0.0.1;TCP/7680;Zadna;81;48;12;29 %;0.48;1.11
2026-04-14 19:02:23;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.0.0.1;UDP/443;Zadna;81;40;6;25 %;0.81;1.23
2026-04-14 18:08:20;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.0.0.1;TCP/443;Zadna;56;27;9;14 %;11.15;90.31
2026-04-14 18:02:20;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.0.0.1;TCP/53;Zadna;62;20;9;20 %;28.82;0.31
2026-04-14 17:59:19;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.0.0.1;TCP/53;Zadna;111;39;9;17 %;7.05;6.07
2026-04-14 17:48:19;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.0.0.1;TCP/53;Zadna;68;20;8;10 %;19.61;0.33
2026-04-14 17:45:19;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.0.0.1;TCP/443;Zadna;45;24;9;13 %;12.8;14.96
2026-04-14 17:41:19;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.0.0.1;UDP/443;Zadna;106;53;12;19 %;1.02;25.25
2026-04-09 16:31:33;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.0.0.1;TCP/53;Zadna;;;;0 %;0.59;79.66
2026-04-09 16:18:33;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.0.0.1;TCP/53;Zadna;;;;0 %;1.59;43.23
2026-04-19 15:36:00;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.0.0.1;TCP/53;Zadna;91;32;7;27 %;0.14;0.23
2026-04-14 16:09:28;home;192.168.69.6 (Malina - 2c:cf:67:c4:32:dc);1.1.1.1;UDP/53;Zadna;216;31;8;8 %;;
2026-04-13 15:08:10;home;192.168.69.6 (Malina - 2c:cf:67:c4:32:dc);1.1.1.1;UDP/53;Zadna;307;87;14;9 %;;
2026-04-07 19:43:07;home;;1.1.1.1;TCP/443;Zadna;;;;7 %;8.8;26.66
2026-04-14 21:29:29;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/80;Zadna;168;43;10;16 %;0.47;3.35
2026-04-14 18:14:21;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;UDP/53;Zadna;59;28;7;22 %;5.03;23.56
2026-04-14 18:03:20;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;UDP/53;Zadna;75;28;9;5 %;25.16;57.52
2026-04-14 17:29:18;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/443;Zadna;105;34;8;14 %;3.85;30.91
2026-04-14 17:28:18;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/53;Zadna;68;19;7;19 %;6.1;0.55
2026-04-14 17:15:30;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/443;Zadna;64;34;12;31 %;;
2026-04-14 17:02:30;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/53;Zadna;59;25;9;25 %;;
2026-04-14 17:01:30;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/7680;Zadna;62;30;11;35 %;;
2026-04-14 16:41:29;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/53;Zadna;170;48;13;11 %;;
2026-04-14 16:04:27;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/443;Zadna;106;41;9;29 %;;
2026-04-14 16:01:27;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/443;Zadna;128;83;13;17 %;;
2026-04-14 16:00:27;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;UDP/443;Zadna;205;95;15;20 %;;
2026-04-14 15:59:27;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;UDP/53;Zadna;342;96;12;6 %;;
2026-04-14 00:36:45;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/443;Zadna;57;23;8;21 %;;
2026-04-14 00:24:33;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/443;Zadna;73;28;12;21 %;;
2026-04-14 00:23:33;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/443;Zadna;65;31;11;26 %;;
2026-04-14 00:17:32;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/53;Zadna;55;22;8;10 %;;
2026-04-14 00:06:32;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;UDP/7770;Zadna;78;54;12;11 %;;
2026-04-13 23:42:31;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;UDP/7770;Zadna;88;60;13;14 %;;
2026-04-13 23:10:29;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;UDP/7770;Zadna;81;59;13;11 %;;
2026-04-13 22:23:27;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;UDP/7770;Zadna;71;52;10;4 %;;
2026-04-13 21:26:25;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/443;Zadna;48;25;10;14 %;;
2026-04-13 21:24:25;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;UDP/7770;Zadna;97;64;14;10 %;;
2026-04-13 21:23:25;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;TCP/443;Zadna;81;41;10;3 %;;
2026-04-13 21:22:25;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;UDP/53;Zadna;79;35;16;26 %;;
2026-04-13 21:21:25;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;UDP/53;Zadna;55;20;11;10 %;;
2026-04-13 21:20:25;home;192.168.69.5 (PWRHOUSE - 10:7c:61:06:b1:fc);1.1.1.1;UDP/53;Zadna;22;14;7;13 %;;
