Název;IP;MAC
Xiaomi_12X;192.168.69.12;50:98:39:5b:7e:00
XBOX;192.168.69.20;e4:2a:ac:d1:0b:66
Guest_PC_2;192.168.69.207;d8:bb:c1:5c:8d:30
PCS Computer Systems GmbH;192.168.69.208;08:00:27:b6:5c:c2
Neznamy vyrobce;192.168.69.208;74:5d:22:94:8c:a6
Guest_PC;192.168.69.209;66:cf:65:08:25:e6
FUJITSU LIMITED;192.168.69.213;74:2b:62:7b:33:cd
Guest_PC;192.168.69.213;66:cf:65:08:25:e6
Guest_Laptop;192.168.69.214;d4:81:d7:81:f0:a1
LNV14;192.168.69.253;74:97:79:eb:6b:bf
Router;192.168.69.254;00:e0:4c:be:02:be
NAS;192.168.69.3;10:62:e5:09:df:e3
PCS Computer Systems GmbH;192.168.69.5;08:00:27:b6:5c:c2
PWRHOUSE;192.168.69.5;10:7c:61:06:b1:fc
Malina;192.168.69.6;2c:cf:67:c4:32:dc
